iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 10, 2022"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"191,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","747,682,723.92","4.15","747,682,723.92","4,716,646.00","158.52","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","585,685,116.10","3.25","585,685,116.10","2,050,790.00","285.59","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","383,836,735.65","2.13","383,836,735.65","130,719.00","2,936.35","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","227,813,171.67","1.26","227,813,171.67","86,013.00","2,648.59","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","219,609,939.12","1.22","219,609,939.12","82,758.00","2,653.64","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","205,269,491.20","1.14","205,269,491.20","244,864.00","838.30","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","163,074,837.34","0.90","163,074,837.34","719,723.00","226.58","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","145,730,219.76","0.81","145,730,219.76","7,038,000.00","20.71","Taiwan","Taiwan Stock Exchange","USD","28.35","TWD","Nov 10, 1994"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","133,323,249.04","0.74","133,323,249.04","271,291.00","491.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FB","META PLATFORMS INC CLASS A","Communication","Equity","132,278,981.04","0.73","132,278,981.04","677,624.00","195.21","United States","NASDAQ","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","126,673,754.78","0.70","126,673,754.78","746,633.00","169.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","121,973,186.80","0.68","121,973,186.80","374,956.00","325.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","110,611,684.02","0.61","110,611,684.02","838,857.00","131.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","102,679,970.80","0.57","102,679,970.80","1,202,905.00","85.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","100,098,027.98","0.56","100,098,027.98","690,617.00","144.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","99,739,264.65","0.55","99,739,264.65","815,006.00","122.38","Switzerland","SIX Swiss Exchange","USD","0.93","CHF","-"
"V","VISA INC CLASS A","Information Technology","Equity","95,325,524.55","0.53","95,325,524.55","481,515.00","197.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","95,313,460.32","0.53","95,313,460.32","557,976.00","170.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","95,157,852.30","0.53","95,157,852.30","299,295.00","317.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","84,532,798.35","0.47","84,532,798.35","2,078,505.00","40.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","82,006,365.14","0.45","82,006,365.14","252,646.00","324.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","81,251,310.31","0.45","81,251,310.31","1,650,900.00","49.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.82","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","79,843,358.27","0.44","79,843,358.27","1,377,354.00","57.97","Korea (South)","Korea Exchange (Stock Market)","USD","1,228.25","KRW","-"
"PFE","PFIZER INC","Health Care","Equity","79,485,256.80","0.44","79,485,256.80","1,615,554.00","49.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","77,201,702.52","0.43","77,201,702.52","205,454.00","375.76","Switzerland","SIX Swiss Exchange","USD","0.93","CHF","-"
"ABBV","ABBVIE INC","Health Care","Equity","76,514,961.46","0.42","76,514,961.46","512,938.00","149.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","72,224,453.41","0.40","72,224,453.41","120,184.00","600.95","Netherlands","Euronext Amsterdam","USD","0.91","EUR","-"
"DIS","WALT DISNEY","Communication","Equity","70,013,060.52","0.39","70,013,060.52","523,893.00","133.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","69,776,481.06","0.39","69,776,481.06","118,722.00","587.73","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","68,229,870.08","0.38","68,229,870.08","1,178,816.00","57.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","67,723,095.44","0.38","67,723,095.44","127,127.00","532.72","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","66,808,077.01","0.37","66,808,077.01","1,221,131.00","54.71","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","62,653,562.44","0.35","62,653,562.44","235,522.00","266.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","61,886,158.59","0.34","61,886,158.59","433,893.00","142.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","61,762,023.78","0.34","61,762,023.78","1,160,286.00","53.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","61,620,442.12","0.34","61,620,442.12","398,812.00","154.51","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","61,519,822.00","0.34","61,519,822.00","114,296.00","538.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","60,069,868.55","0.33","60,069,868.55","136,849.00","438.95","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","60,051,186.00","0.33","60,051,186.00","513,258.00","117.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","59,208,395.43","0.33","59,208,395.43","1,304,437.00","45.39","United States","NASDAQ","USD","1.00","USD","-"
"SHEL","SHELL PLC","Energy","Equity","57,413,326.33","0.32","57,413,326.33","2,236,007.00","25.68","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"MRK","MERCK & CO INC","Health Care","Equity","56,811,252.42","0.32","56,811,252.42","729,378.00","77.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","56,648,969.44","0.31","56,648,969.44","183,022.00","309.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","56,613,428.25","0.31","56,613,428.25","282,855.00","200.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","55,768,233.95","0.31","55,768,233.95","1,137,895.00","49.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","54,415,220.86","0.30","54,415,220.86","449,595.00","121.03","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","54,340,096.02","0.30","54,340,096.02","1,164,597.00","46.66","United States","NASDAQ","USD","1.00","USD","-"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","54,011,575.90","0.30","54,011,575.90","4,396,576.00","12.28","China","Hong Kong Exchanges And Clearing Ltd","USD","7.82","HKD","-"
"MC","LVMH","Consumer Discretionary","Equity","52,569,096.79","0.29","52,569,096.79","81,153.00","647.78","France","Nyse Euronext - Euronext Paris","USD","0.91","EUR","-"
"NOVN","NOVARTIS AG","Health Care","Equity","52,473,463.17","0.29","52,473,463.17","635,499.00","82.57","Switzerland","SIX Swiss Exchange","USD","0.93","CHF","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","51,611,574.18","0.29","51,611,574.18","3,076,400.00","16.78","Japan","Tokyo Stock Exchange","USD","115.97","JPY","-"
"BHP","BHP GROUP LTD","Materials","Equity","51,263,284.08","0.28","51,263,284.08","1,458,763.00","35.14","Australia","Asx - All Markets","USD","1.36","AUD","Jan 02, 1985"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","51,261,073.51","0.28","51,261,073.51","493,566.00","103.86","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.75","DKK","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","50,908,959.08","0.28","50,908,959.08","478,198.00","106.46","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","50,406,219.81","0.28","50,406,219.81","325,811.00","154.71","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","49,412,984.53","0.27","49,412,984.53","187,291.00","263.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","48,321,384.30","0.27","48,321,384.30","186,102.00","259.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","47,848,548.00","0.27","47,848,548.00","215,534.00","222.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","46,678,988.67","0.26","46,678,988.67","2,012,893.00","23.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
