Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"1,499,770,973.15",5.78,"1,499,770,973.15","97,690,000.00",15.35,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,10-Nov-94
700,TENCENT HOLDINGS LTD,Communication,Equity,"1,109,190,578.55",4.28,"1,109,190,578.55","24,758,200.00",44.8,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,Equity,"895,221,528.30",3.45,"895,221,528.30","60,203,456.00",14.87,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
5930,SAMSUNG ELECTRONICS LTD,Information Technology,Equity,"847,265,010.04",3.27,"847,265,010.04","18,921,524.00",44.78,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
3690,MEITUAN,Consumer Discretionary,Equity,"402,552,572.93",1.55,"402,552,572.93","16,251,300.00",24.77,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,Equity,"364,326,282.91",1.4,"364,326,282.91","12,079,054.00",30.16,India,National Stock Exchange Of India,USD,79.18,INR,-
939,CHINA CONSTRUCTION BANK CORP H,Financials,Equity,"252,760,902.34",0.97,"252,760,902.34","380,744,760.00",0.66,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
INFY,INFOSYS LTD,Information Technology,Equity,"252,363,069.38",0.97,"252,363,069.38","13,332,329.00",18.93,India,National Stock Exchange Of India,USD,79.18,INR,-
9618,JD.COM CLASS A INC,Consumer Discretionary,Equity,"250,434,998.35",0.97,"250,434,998.35","7,950,754.00",31.5,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
VALE3,CIA VALE DO RIO DOCE SH,Materials,Equity,"229,853,695.81",0.89,"229,853,695.81","15,894,392.00",14.46,Brazil,XBSP,USD,5.34,BRL,-
HDFC,HOUSING DEVELOPMENT FINANCE CORPOR,Financials,Equity,"194,005,962.21",0.75,"194,005,962.21","6,840,491.00",28.36,India,National Stock Exchange Of India,USD,79.18,INR,-
ICICIBANK,ICICI BANK LTD,Financials,Equity,"191,808,755.98",0.74,"191,808,755.98","20,467,248.00",9.37,India,National Stock Exchange Of India,USD,79.18,INR,-
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,Equity,"171,649,793.81",0.66,"171,649,793.81","49,421,873.00",3.47,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,26-Sep-91
1120,AL RAJHI BANK,Financials,Equity,"169,332,520.40",0.65,"169,332,520.40","7,790,126.00",21.74,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
2318,PING AN INSURANCE (GROUP) CO OF CH,Financials,Equity,"165,984,703.21",0.64,"165,984,703.21","24,812,500.00",6.69,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
1180,THE SAUDI NATIONAL BANK,Financials,Equity,"156,387,228.93",0.6,"156,387,228.93","8,710,351.00",17.95,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
660,SK HYNIX INC,Information Technology,Equity,"155,863,235.55",0.6,"155,863,235.55","2,157,436.00",72.24,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,-
TCS,TATA CONSULTANCY SERVICES LTD,Information Technology,Equity,"151,321,182.33",0.58,"151,321,182.33","3,644,036.00",41.53,India,National Stock Exchange Of India,USD,79.18,INR,-
2269,WUXI BIOLOGICS CAYMAN INC,Health Care,Equity,"150,013,977.99",0.58,"150,013,977.99","14,236,000.00",10.54,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
NPN,NASPERS LIMITED N LTD,Consumer Discretionary,Equity,"146,513,940.55",0.56,"146,513,940.55","860,495.00",170.27,South Africa,Johannesburg Stock Exchange,USD,16.76,ZAR,-
9999,NETEASE INC,Communication,Equity,"146,204,297.88",0.56,"146,204,297.88","8,242,950.00",17.74,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
1211,BYD LTD H,Consumer Discretionary,Equity,"135,270,863.46",0.52,"135,270,863.46","3,266,500.00",41.41,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
9888,BAIDU CLASS A INC,Communication,Equity,"134,971,213.49",0.52,"134,971,213.49","7,205,856.00",18.73,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
5935,SAMSUNG ELECTRONICS NON VOTING PRE,Information Technology,Equity,"134,026,071.94",0.52,"134,026,071.94","3,256,082.00",41.16,Korea (South),Korea Exchange (Stock Market),USD,"1,299.75",KRW,07-Jun-93
2454,MEDIATEK INC,Information Technology,Equity,"128,466,408.32",0.5,"128,466,408.32","6,019,338.00",21.34,Taiwan,Taiwan Stock Exchange,USD,29.8,TWD,23-Jul-01
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,Equity,"120,958,125.01",0.47,"120,958,125.01","222,315,085.00",0.54,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
NIO,NIO AMERICAN DEPOSITARY SHARES REP,Consumer Discretionary,Equity,"117,292,995.00",0.45,"117,292,995.00","5,213,022.00",22.5,China,New York Stock Exchange Inc.,USD,1,USD,-
3988,BANK OF CHINA LTD H,Financials,Equity,"114,590,095.63",0.44,"114,590,095.63","312,260,000.00",0.37,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
AMXL,AMERICA MOVIL L,Communication,Equity,"109,762,259.44",0.42,"109,762,259.44","112,272,200.00",0.98,Mexico,Bolsa Mexicana De Valores,USD,20.62,MXN,-
PDD,PINDUODUO ADR REPRESENTING INC,Consumer Discretionary,Equity,"108,346,910.56",0.42,"108,346,910.56","1,741,072.00",62.23,China,NASDAQ,USD,1,USD,-
1810,XIAOMI CORP,Information Technology,Equity,"103,552,560.95",0.4,"103,552,560.95","60,557,800.00",1.71,China,Hong Kong Exchanges And Clearing Ltd,USD,7.85,HKD,-
BBCA,BANK CENTRAL ASIA,Financials,Equity,"102,923,154.84",0.4,"102,923,154.84","217,385,300.00",0.47,Indonesia,Indonesia Stock Exchange,USD,"14,996.00",IDR,-
HINDUNILVR,HINDUSTAN UNILEVER LTD,Consumer Staples,Equity,"101,969,479.98",0.39,"101,969,479.98","3,264,749.00",31.23,India,National Stock Exchange Of India,USD,79.18,INR,-
PETR4,PETROLEO BRASILEIRO PREF SA,Energy,Equity,"100,183,045.28",0.39,"100,183,045.28","18,773,768.00",5.34,Brazil,XBSP,USD,5.34,BRL,-
