Ticker,Name,Weight (%),Sector,Location of Risk,Market Value,Shares,Price,ISIN,SEDOL,Exchange,Currency,Market Currency,FX Rate,Notional Value
AAPL,APPLE INC,4.71,Information Technology,United States,"34,851,096.85","183,475.00",189.95,US0378331005,2046251,NASDAQ,CAD,USD,0.77,"34,851,096.85"
MSFT,MICROSOFT CORP,4.2,Information Technology,United States,"31,088,979.12","89,241.00",348.37,US5949181045,2588173,NASDAQ,CAD,USD,0.77,"31,088,979.12"
AMZN,AMAZON COM INC,2.13,Consumer Discretionary,United States,"15,764,368.85","104,407.00",150.99,US0231351067,2000019,NASDAQ,CAD,USD,0.77,"15,764,368.85"
GOOGL,ALPHABET INC CLASS A,1.5,Communication,United States,"11,066,014.01","3,589.00","3,083.49",US02079K3059,BYVY8G0,NASDAQ,CAD,USD,0.77,"11,066,014.01"
GOOG,ALPHABET INC CLASS C,1.38,Communication,United States,"10,191,300.17","3,291.00","3,097.06",US02079K1079,BYY88Y7,NASDAQ,CAD,USD,0.77,"10,191,300.17"
TSLA,TESLA INC,1.29,Consumer Discretionary,United States,"9,534,574.96","10,013.00",952.22,US88160R1014,B616C79,NASDAQ,CAD,USD,0.77,"9,534,574.96"
BRKB,BERKSHIRE HATHAWAY INC CLASS B,1.06,Financials,United States,"7,825,413.36","21,588.00",362.49,US0846707026,2073390,New York Stock Exchange Inc.,CAD,USD,0.77,"7,825,413.36"
UNH,UNITEDHEALTH GROUP INC,1.01,Health Care,United States,"7,474,464.96","11,195.00",667.64,US91324P1021,2917766,New York Stock Exchange Inc.,CAD,USD,0.77,"7,474,464.96"
JNJ,JOHNSON & JOHNSON,0.98,Health Care,United States,"7,274,514.31","31,399.00",231.68,US4781601046,2475833,New York Stock Exchange Inc.,CAD,USD,0.77,"7,274,514.31"
NVDA,NVIDIA CORP,0.83,Information Technology,United States,"6,149,772.75","29,878.00",205.83,US67066G1040,2379504,NASDAQ,CAD,USD,0.77,"6,149,772.75"
META,META PLATFORMS INC CLASS A,0.83,Communication,United States,"6,116,353.96","27,367.00",223.49,US30303M1027,B7TL820,NASDAQ,CAD,USD,0.77,"6,116,353.96"
XOM,EXXON MOBIL CORP,0.76,Energy,United States,"5,606,845.16","50,263.00",111.55,US30231G1022,2326618,New York Stock Exchange Inc.,CAD,USD,0.77,"5,606,845.16"
PG,PROCTER & GAMBLE,0.73,Consumer Staples,United States,"5,425,136.87","28,629.00",189.5,US7427181091,2704407,New York Stock Exchange Inc.,CAD,USD,0.77,"5,425,136.87"
JPM,JPMORGAN CHASE & CO,0.71,Financials,United States,"5,218,338.95","35,046.00",148.9,US46625H1005,2190385,New York Stock Exchange Inc.,CAD,USD,0.77,"5,218,338.95"
V,VISA INC CLASS A,0.7,Information Technology,United States,"5,168,977.25","19,637.00",263.22,US92826C8394,B2PZN04,New York Stock Exchange Inc.,CAD,USD,0.77,"5,168,977.25"
NESN,NESTLE SA,0.66,Consumer Staples,Switzerland,"4,885,656.85","32,016.00",152.6,CH0038863350,7123870,SIX Swiss Exchange,CAD,CHF,0.75,"4,885,656.85"
PFE,PFIZER INC,0.63,Health Care,United States,"4,642,094.77","66,947.00",69.34,US7170811035,2684703,New York Stock Exchange Inc.,CAD,USD,0.77,"4,642,094.77"
HD,HOME DEPOT INC,0.62,Consumer Discretionary,United States,"4,588,287.45","12,330.00",372.11,US4370761029,2434209,New York Stock Exchange Inc.,CAD,USD,0.77,"4,588,287.45"
CVX,CHEVRON CORP,0.59,Energy,United States,"4,367,130.68","23,444.00",186.28,US1667641005,2838555,New York Stock Exchange Inc.,CAD,USD,0.77,"4,367,130.68"
MA,MASTERCARD INC CLASS A,0.58,Information Technology,United States,"4,310,206.32","10,247.00",420.63,US57636Q1040,B121557,New York Stock Exchange Inc.,CAD,USD,0.77,"4,310,206.32"
ABBV,ABBVIE INC,0.56,Health Care,United States,"4,159,923.97","21,085.00",197.29,US00287Y1091,B92SR70,New York Stock Exchange Inc.,CAD,USD,0.77,"4,159,923.97"
LLY,ELI LILLY,0.54,Health Care,United States,"4,005,604.78","9,410.00",425.66,US5324571083,2516152,New York Stock Exchange Inc.,CAD,USD,0.77,"4,005,604.78"
KO,COCA-COLA,0.51,Consumer Staples,United States,"3,801,259.61","46,556.00",81.65,US1912161007,2206657,New York Stock Exchange Inc.,CAD,USD,0.77,"3,801,259.61"
